Dataset,MSE,RMSE,MAE,R2
Training,0.0003121382662787567,0.017667435192431205,0.014016342921876453,0.0019438759548907614
Testing,0.00029601442690566337,0.017205069802406017,0.013821147540061467,-0.007362237856339382
