Dataset,MSE,RMSE,MAE,R2
Training,0.0003532684805359246,0.018795437758560577,0.013123536180708278,0.003273312490802427
Testing,0.00018354047565532423,0.013547711085468431,0.010101815867309086,-0.014769387809625334
