Dataset,MSE,RMSE,MAE,R2
Training,0.0003128327449336033,0.01768707847366555,0.014044037404080402,-0.0004013156098878756
Testing,0.00029671121069250306,0.017225307274255024,0.013860763152517556,-0.005901535752233178
