Model,MSE,RMSE,MAE,R2,Directional Accuracy
Naive Mean Return,0.00018117848492321702,0.013460255752518859,0.010004763530681107,-0.0017102743869619186,0.56312625250501
Real Linear Regression,0.0001835404756553,0.0135477110854684,0.010101815867309,-0.0147693878096253,0.49899799599198397
Real LSTM,0.0001769999430544,0.0133041325555053,0.0098716618192805,-0.0001391257248204,0.5532359081419624
Random Linear Regression,0.0002960144269056,0.017205069802406,0.0138211475400614,-0.0073622378563393,0.5151515151515151
Random LSTM,0.0002967112106925,0.017225307274255,0.0138607631525175,-0.0059015357522331,0.5284210526315789
