Dataset,MSE,RMSE,MAE,R2
Training,0.00035628403725282523,0.01887548773549508,0.013134395260644872,-7.409398114721633e-05
Testing,0.00017699994305445783,0.013304132555505369,0.009871661819280585,-0.0001391257248204436
